Code,Localite
1040,Etterbeek
1080,Molenbeek-Saint-Jean
1170,Watermael-Boitsfort
1320,Nodebais
1325,Bonlez
1325,Longueville
1330,Rixensart
1332,Genval
1342,Limelette
1348,Louvain-La-Neuve
1350,Folx-Les-Caves
1350,Marilles
1350,Noduwez
1350,Orp-Jauche
1357,Linsmeau
1360,Orbais
1360,Thorembais-Les-Béguines
1367,Autre-Eglise
1370,Dongelberg
1370,Jodoigne
1370,Mélin
1370,Saint-Jean-Geest
1380,Couture-Saint-Germain
1390,Archennes
1402,Thines
1421,Ophain-Bois-Seigneur-Isaac
1428,Lillois-Witterzée
1430,Bierghes
1435,Hévillers
1440,Wauthier-Braine
1450,Chastre-Villeroux-Blanmont
1450,Gentinnes
1460,Virginal-Samme
1461,Haut-Ittre
1473,Glabais
1476,Houtain-Le-Val
1495,Sart-Dames-Avelines
1495,Tilly
1500,Halle
1502,Lembeek
1540,Herne
1730,Asse
1731,Zellik
1742,Sint-Katherina-Lombeek
1745,Opwijk
1755,Kester
1785,Hamme
1800,Vilvoorde
1840,Steenhuffel
1932,Sint-Stevens-Woluwe
1982,Elewijt
2018,Antwerpen
2040,Berendrecht
2050,Antwerpen
2110,Wijnegem
2160,Wommelgem
2200,Herentals
2200,Morkhoven
2220,Hallaar
2222,Itegem
2230,Herselt
2235,Houtvenne
2243,Pulle
2260,Tongerlo
2270,Herenthout
2275,Poederlee
2280,Grobbendonk
2288,Bouwel
2290,Vorselaar
2320,Hoogstraten
2328,Meerle
2340,Vlimmeren
2360,Oud-Turnhout
2387,Baarle-Hertog
2400,Mol
2430,Eindhout
2430,Laakdal
2430,Vorst
2460,Tielen
2480,Dessel
2520,Ranst
2580,Putte
2590,Gestel
2620,Hemiksem
2800,Mechelen
2830,Blaasveld
2870,Liezele
2870,Puurs
2870,Ruisbroek
2880,Bornem
2890,Lippelo
2910,Essen
2940,Hoevenen
2990,Loenhout
3000,Leuven
3020,Veltem-Beisem
3071,Erps-Kwerps
3110,Rotselaar
3111,Wezemaal
3120,Tremelo
3130,Betekom
3202,Rillaar
